feature,importance,target,target_label
traffic_Passengers_cars,0.8184040192349965,total_fuel_sales,Продажи топлива
total_traffic,0.09505289180156791,total_fuel_sales,Продажи топлива
is_rush_hour,0.01802087473411244,total_fuel_sales,Продажи топлива
hour,0.01118585627756726,total_fuel_sales,Продажи топлива
promotion_fuel_active,0.009777152488566143,total_fuel_sales,Продажи топлива
is_snow,0.0027299868835057492,total_fuel_sales,Продажи топлива
day_of_week,0.0005302249653238814,total_fuel_sales,Продажи топлива
staff_engagement_score,0.0002886767672290273,total_fuel_sales,Продажи топлива
competitor_price_AI95,0.0001961182962180915,total_fuel_sales,Продажи топлива
price_AI95,0.00013048106067477713,total_fuel_sales,Продажи топлива
station_id,0.00012901635497049777,total_fuel_sales,Продажи топлива
weather_condition,8.368397722487615e-05,total_fuel_sales,Продажи топлива
corporate_customer_ratio,4.571929508264313e-05,total_fuel_sales,Продажи топлива
settlement_size,3.786041617892533e-05,total_fuel_sales,Продажи топлива
competitors_within_5km,3.514053255352737e-05,total_fuel_sales,Продажи топлива
competitor_price_DT,2.7780416418673088e-05,total_fuel_sales,Продажи топлива
promotion_shop_active,2.6328572815259577e-05,total_fuel_sales,Продажи топлива
direction,2.20347556856663e-05,total_fuel_sales,Продажи топлива
wind_speed_ms,2.0417114533673637e-05,total_fuel_sales,Продажи топлива
price_AI98,1.6944835501742084e-05,total_fuel_sales,Продажи топлива
is_rain,1.5746288852110563e-05,total_fuel_sales,Продажи топлива
distance_to_city_km,9.022898864878096e-06,total_fuel_sales,Продажи топлива
is_night,3.599727824266097e-06,total_fuel_sales,Продажи топлива
price_DT_WINTER,0.0,total_fuel_sales,Продажи топлива
price_DT_SUMMER,0.0,total_fuel_sales,Продажи топлива
price_DT_TANEKO,0.0,total_fuel_sales,Продажи топлива
week_of_year,0.0,total_fuel_sales,Продажи топлива
quarter,0.0,total_fuel_sales,Продажи топлива
month,0.0,total_fuel_sales,Продажи топлива
price_DT_EURO,0.0,total_fuel_sales,Продажи топлива
price_AI92,0.0,total_fuel_sales,Продажи топлива
holiday_name,0.0,total_fuel_sales,Продажи топлива
shop_area_m2,0.0,total_fuel_sales,Продажи топлива
has_shop,0.0,total_fuel_sales,Продажи топлива
has_cafe,0.0,total_fuel_sales,Продажи топлива
season,0.0,total_fuel_sales,Продажи топлива
promotion_cafe_active,0.0,total_fuel_sales,Продажи топлива
traffic_Transporter,0.0,total_fuel_sales,Продажи топлива
is_fog,0.0,total_fuel_sales,Продажи топлива
is_holiday,0.0,total_fuel_sales,Продажи топлива
is_weekend,0.0,total_fuel_sales,Продажи топлива
has_car_wash,-6.940291831643759e-06,total_fuel_sales,Продажи топлива
competitor_price_AI92,-1.719241698076394e-05,total_fuel_sales,Продажи топлива
customer_loyalty_score,-2.5336344734598153e-05,total_fuel_sales,Продажи топлива
ad_channel,-4.3574989665525386e-05,total_fuel_sales,Продажи топлива
ad_active,-6.616428978715543e-05,total_fuel_sales,Продажи топлива
temperature,-9.569622322898781e-05,total_fuel_sales,Продажи топлива
traffic_Undefined,-0.00012531997613696166,total_fuel_sales,Продажи топлива
road_type,-0.00025065380564296785,total_fuel_sales,Продажи топлива
total_pumps,-0.0002615426726578403,total_fuel_sales,Продажи топлива
