date,observations,total_fuel_sales,shop_total_revenue,total_traffic,avg_temperature,avg_precipitation_mm,promo_fuel_share,promo_shop_share,promo_cafe_share,ad_active_share,avg_price_gap_ai92,avg_price_gap_ai95,avg_price_gap_dt
2023-01-01,600,23901.0,52533.0,70913.0,-12.37,0.83,0.4,0.24,0.04,0.285,-0.03,-0.038,0.947
2023-01-02,600,24646.0,48781.0,70708.0,-12.09,0.82,0.48,0.28,0.16,0.31,-0.041,-0.022,0.874
2023-01-03,600,24150.0,45180.0,69771.0,-12.22,0.87,0.48,0.32,0.24,0.2833,-0.024,-0.045,0.982
2023-01-04,600,25147.0,52290.0,70784.0,-12.04,0.9,0.52,0.36,0.24,0.28,0.026,0.026,0.936
2023-01-05,600,24302.0,48035.0,69805.0,-12.1,0.9,0.52,0.36,0.24,0.3233,-0.054,0.012,0.928
2023-01-06,600,24400.0,49132.0,69872.0,-11.82,0.86,0.52,0.36,0.24,0.285,0.086,0.021,0.934
2023-01-07,600,24759.0,54860.0,72002.0,-11.86,0.86,0.52,0.36,0.24,0.3017,0.036,0.007,1.058
2023-01-08,600,23664.0,52377.0,70250.0,-12.01,0.82,0.52,0.36,0.24,0.3283,0.044,0.01,0.964
2023-01-09,600,25142.0,51544.0,70487.0,-11.82,0.79,0.52,0.36,0.24,0.3117,0.03,-0.062,0.949
2023-01-10,600,24072.0,51080.0,69167.0,-11.95,0.95,0.52,0.36,0.24,0.2933,-0.019,-0.018,1.024
2023-01-11,600,24953.0,48292.0,70458.0,-12.42,0.91,0.52,0.36,0.24,0.2983,0.05,-0.0,0.875
2023-01-12,600,24550.0,49726.0,70123.0,-11.93,0.86,0.52,0.36,0.24,0.2817,-0.11,-0.046,0.968
2023-01-13,600,23770.0,47255.0,68954.0,-11.92,0.8,0.52,0.36,0.24,0.2833,0.016,0.038,0.963
2023-01-14,600,23552.0,49577.0,70731.0,-11.74,0.87,0.52,0.36,0.24,0.3317,0.006,0.055,0.898
2023-01-15,600,23513.0,48321.0,70801.0,-12.18,0.91,0.52,0.36,0.24,0.3033,0.072,0.072,0.94
2023-01-16,600,24316.0,48542.0,70022.0,-11.51,0.87,0.52,0.36,0.24,0.29,-0.015,0.097,1.024
2023-01-17,600,24462.0,48739.0,69312.0,-12.19,0.95,0.52,0.36,0.24,0.2717,-0.004,0.003,0.98
2023-01-18,600,24578.0,49026.0,70694.0,-12.17,0.91,0.52,0.36,0.24,0.29,0.106,0.058,1.004
2023-01-19,600,23970.0,44319.0,69138.0,-11.65,0.9,0.52,0.36,0.24,0.285,0.092,0.106,0.912
2023-01-20,600,24110.0,47139.0,69412.0,-11.98,0.84,0.52,0.36,0.24,0.2917,0.036,0.1,0.952
2023-01-21,600,23415.0,48035.0,70118.0,-11.9,0.85,0.52,0.36,0.24,0.315,0.035,0.011,0.871
2023-01-22,600,23667.0,50165.0,71016.0,-12.09,0.87,0.52,0.36,0.24,0.31,-0.058,-0.062,0.917
2023-01-23,600,25071.0,48852.0,70878.0,-11.67,0.91,0.52,0.36,0.24,0.2967,-0.04,0.052,1.035
2023-01-24,600,24849.0,46715.0,70861.0,-11.65,0.83,0.52,0.36,0.24,0.3033,-0.033,0.026,0.966
2023-01-25,600,25052.0,50801.0,70779.0,-12.02,0.84,0.52,0.36,0.24,0.3033,0.113,-0.062,0.994
2023-01-26,600,24547.0,47890.0,69754.0,-11.99,0.93,0.52,0.36,0.24,0.3183,0.028,-0.061,1.027
2023-01-27,600,24845.0,48137.0,70855.0,-12.15,0.88,0.52,0.36,0.24,0.3017,-0.049,0.068,1.034
2023-01-28,600,24782.0,55647.0,72423.0,-12.18,0.92,0.52,0.36,0.24,0.315,-0.049,0.007,0.928
2023-01-29,600,24403.0,55043.0,71872.0,-11.91,0.88,0.52,0.36,0.24,0.3067,0.045,-0.073,0.973
2023-01-30,600,24297.0,48363.0,70140.0,-12.03,0.87,0.52,0.36,0.24,0.3,0.159,0.082,0.951
2023-01-31,600,24603.0,46656.0,70364.0,-11.99,0.79,0.52,0.36,0.24,0.2733,0.094,-0.004,0.926
2023-02-01,600,25831.0,52679.0,71993.0,-9.92,0.6,0.52,0.36,0.24,0.3217,-0.043,-0.019,0.921
2023-02-02,600,26025.0,52442.0,72593.0,-10.27,0.56,0.52,0.36,0.24,0.32,-0.028,-0.056,1.035
2023-02-03,600,25576.0,53049.0,72578.0,-10.04,0.65,0.52,0.36,0.24,0.295,0.033,0.039,0.899
2023-02-04,600,24719.0,53056.0,73208.0,-10.11,0.53,0.52,0.36,0.24,0.3117,-0.044,0.003,0.906
2023-02-05,600,26290.0,63644.0,75359.0,-9.92,0.55,0.52,0.36,0.24,0.3017,0.067,-0.044,0.879
2023-02-06,600,26123.0,52575.0,72744.0,-9.95,0.56,0.52,0.36,0.24,0.2717,-0.03,-0.048,0.943
2023-02-07,600,27047.0,56200.0,74070.0,-9.88,0.54,0.52,0.36,0.24,0.3233,0.07,-0.051,1.028
2023-02-08,600,26831.0,52503.0,74556.0,-9.84,0.57,0.52,0.36,0.24,0.29,-0.006,0.085,0.975
2023-02-09,600,25888.0,49564.0,72429.0,-9.98,0.57,0.52,0.36,0.24,0.2733,-0.008,-0.013,0.838
2023-02-10,600,26240.0,53325.0,73072.0,-10.11,0.51,0.52,0.36,0.24,0.2833,-0.051,-0.171,1.012
2023-02-11,600,25678.0,58130.0,74205.0,-10.09,0.66,0.52,0.36,0.24,0.2983,0.014,0.067,0.885
2023-02-12,600,25740.0,57927.0,73504.0,-9.99,0.65,0.52,0.36,0.24,0.2883,0.061,-0.042,0.931
2023-02-13,600,26611.0,52455.0,73549.0,-9.96,0.56,0.52,0.36,0.24,0.27,0.03,-0.021,1.054
2023-02-14,600,25996.0,52167.0,72062.0,-9.96,0.63,0.52,0.36,0.24,0.2767,-0.057,-0.086,0.95
2023-02-15,600,25657.0,49182.0,71595.0,-10.05,0.67,0.52,0.36,0.24,0.3067,-0.054,-0.086,0.874
2023-02-16,600,24734.0,46937.0,70487.0,-10.0,0.62,0.52,0.36,0.24,0.3,-0.088,-0.043,0.91
2023-02-17,600,25600.0,50471.0,71890.0,-9.82,0.6,0.52,0.36,0.24,0.3067,-0.042,-0.064,1.011
2023-02-18,600,25411.0,56588.0,73988.0,-9.97,0.54,0.52,0.36,0.24,0.2867,-0.064,0.116,0.991
2023-02-19,600,25320.0,55804.0,73590.0,-10.0,0.58,0.48,0.4,0.24,0.3017,-0.063,-0.037,0.986
2023-02-20,600,25088.0,51815.0,70676.0,-10.23,0.69,0.48,0.4,0.24,0.3183,0.064,-0.026,0.973
2023-02-21,600,25546.0,50231.0,72068.0,-9.76,0.62,0.48,0.4,0.24,0.2783,-0.02,-0.052,0.887
2023-02-22,600,25468.0,51661.0,72167.0,-10.06,0.58,0.48,0.4,0.24,0.3,-0.001,-0.078,0.899
2023-02-23,600,25520.0,51032.0,71964.0,-9.93,0.69,0.48,0.4,0.24,0.2983,0.083,0.04,0.977
2023-02-24,600,26180.0,52930.0,73335.0,-9.99,0.6,0.48,0.4,0.24,0.305,-0.068,-0.007,0.948
2023-02-25,600,25653.0,56027.0,73636.0,-9.9,0.55,0.48,0.4,0.24,0.2933,-0.037,-0.051,0.882
2023-02-26,600,25273.0,53427.0,73684.0,-10.19,0.58,0.48,0.4,0.24,0.2633,0.026,0.0,1.006
2023-02-27,600,26190.0,53830.0,72482.0,-10.19,0.55,0.48,0.4,0.24,0.3283,-0.026,-0.023,0.825
2023-02-28,600,26174.0,54652.0,72812.0,-10.05,0.56,0.48,0.4,0.24,0.2717,-0.049,0.066,0.984
2023-03-01,600,36363.0,84058.0,89393.0,-3.82,0.44,0.48,0.4,0.24,0.3267,0.064,0.027,0.96
2023-03-02,600,37009.0,80083.0,90640.0,-4.05,0.36,0.48,0.4,0.24,0.31,0.016,-0.026,0.954
2023-03-03,600,37107.0,88126.0,90699.0,-3.95,0.43,0.44,0.4,0.24,0.295,0.012,-0.044,0.948
2023-03-04,600,35799.0,93713.0,91579.0,-3.73,0.36,0.48,0.4,0.24,0.2867,-0.057,0.007,0.946
2023-03-05,600,36338.0,98599.0,91837.0,-4.1,0.35,0.48,0.4,0.24,0.3333,0.041,-0.037,0.945
2023-03-06,600,36048.0,83601.0,88104.0,-4.32,0.38,0.52,0.44,0.24,0.3067,-0.031,0.032,0.863
2023-03-07,600,37427.0,90031.0,90896.0,-4.17,0.39,0.52,0.44,0.24,0.2867,-0.004,-0.056,0.955
2023-03-08,600,38118.0,89798.0,90847.0,-4.17,0.34,0.52,0.44,0.24,0.2817,-0.033,-0.023,0.847
2023-03-09,600,37625.0,89171.0,91409.0,-4.41,0.32,0.52,0.44,0.24,0.26,0.027,-0.088,0.909
