date,year,quarter,month,day,day_of_week,day_name,week_of_year,season,is_weekend,is_holiday,holiday_name
2023-01-01,2023,1,1,1,6,Sunday,52,winter,1,1,Новый год
2023-01-02,2023,1,1,2,0,Monday,1,winter,0,0,
2023-01-03,2023,1,1,3,1,Tuesday,1,winter,0,0,
2023-01-04,2023,1,1,4,2,Wednesday,1,winter,0,0,
2023-01-05,2023,1,1,5,3,Thursday,1,winter,0,0,
2023-01-06,2023,1,1,6,4,Friday,1,winter,0,0,
2023-01-07,2023,1,1,7,5,Saturday,1,winter,1,1,Рождество
2023-01-08,2023,1,1,8,6,Sunday,1,winter,1,0,
2023-01-09,2023,1,1,9,0,Monday,2,winter,0,0,
2023-01-10,2023,1,1,10,1,Tuesday,2,winter,0,0,
2023-01-11,2023,1,1,11,2,Wednesday,2,winter,0,0,
2023-01-12,2023,1,1,12,3,Thursday,2,winter,0,0,
2023-01-13,2023,1,1,13,4,Friday,2,winter,0,0,
2023-01-14,2023,1,1,14,5,Saturday,2,winter,1,0,
2023-01-15,2023,1,1,15,6,Sunday,2,winter,1,0,
2023-01-16,2023,1,1,16,0,Monday,3,winter,0,0,
2023-01-17,2023,1,1,17,1,Tuesday,3,winter,0,0,
2023-01-18,2023,1,1,18,2,Wednesday,3,winter,0,0,
2023-01-19,2023,1,1,19,3,Thursday,3,winter,0,0,
2023-01-20,2023,1,1,20,4,Friday,3,winter,0,0,
2023-01-21,2023,1,1,21,5,Saturday,3,winter,1,0,
2023-01-22,2023,1,1,22,6,Sunday,3,winter,1,0,
2023-01-23,2023,1,1,23,0,Monday,4,winter,0,0,
2023-01-24,2023,1,1,24,1,Tuesday,4,winter,0,0,
2023-01-25,2023,1,1,25,2,Wednesday,4,winter,0,0,
2023-01-26,2023,1,1,26,3,Thursday,4,winter,0,0,
2023-01-27,2023,1,1,27,4,Friday,4,winter,0,0,
2023-01-28,2023,1,1,28,5,Saturday,4,winter,1,0,
2023-01-29,2023,1,1,29,6,Sunday,4,winter,1,0,
2023-01-30,2023,1,1,30,0,Monday,5,winter,0,0,
2023-01-31,2023,1,1,31,1,Tuesday,5,winter,0,0,
2023-02-01,2023,1,2,1,2,Wednesday,5,winter,0,0,
2023-02-02,2023,1,2,2,3,Thursday,5,winter,0,0,
2023-02-03,2023,1,2,3,4,Friday,5,winter,0,0,
2023-02-04,2023,1,2,4,5,Saturday,5,winter,1,0,
2023-02-05,2023,1,2,5,6,Sunday,5,winter,1,0,
2023-02-06,2023,1,2,6,0,Monday,6,winter,0,0,
2023-02-07,2023,1,2,7,1,Tuesday,6,winter,0,0,
2023-02-08,2023,1,2,8,2,Wednesday,6,winter,0,0,
2023-02-09,2023,1,2,9,3,Thursday,6,winter,0,0,
2023-02-10,2023,1,2,10,4,Friday,6,winter,0,0,
2023-02-11,2023,1,2,11,5,Saturday,6,winter,1,0,
2023-02-12,2023,1,2,12,6,Sunday,6,winter,1,0,
2023-02-13,2023,1,2,13,0,Monday,7,winter,0,0,
2023-02-14,2023,1,2,14,1,Tuesday,7,winter,0,0,
2023-02-15,2023,1,2,15,2,Wednesday,7,winter,0,0,
2023-02-16,2023,1,2,16,3,Thursday,7,winter,0,0,
2023-02-17,2023,1,2,17,4,Friday,7,winter,0,0,
2023-02-18,2023,1,2,18,5,Saturday,7,winter,1,0,
2023-02-19,2023,1,2,19,6,Sunday,7,winter,1,0,
2023-02-20,2023,1,2,20,0,Monday,8,winter,0,0,
2023-02-21,2023,1,2,21,1,Tuesday,8,winter,0,0,
2023-02-22,2023,1,2,22,2,Wednesday,8,winter,0,0,
2023-02-23,2023,1,2,23,3,Thursday,8,winter,0,1,День защитника Отечества
2023-02-24,2023,1,2,24,4,Friday,8,winter,0,0,
2023-02-25,2023,1,2,25,5,Saturday,8,winter,1,0,
2023-02-26,2023,1,2,26,6,Sunday,8,winter,1,0,
2023-02-27,2023,1,2,27,0,Monday,9,winter,0,0,
2023-02-28,2023,1,2,28,1,Tuesday,9,winter,0,0,
2023-03-01,2023,1,3,1,2,Wednesday,9,spring,0,0,
2023-03-02,2023,1,3,2,3,Thursday,9,spring,0,0,
2023-03-03,2023,1,3,3,4,Friday,9,spring,0,0,
2023-03-04,2023,1,3,4,5,Saturday,9,spring,1,0,
2023-03-05,2023,1,3,5,6,Sunday,9,spring,1,0,
2023-03-06,2023,1,3,6,0,Monday,10,spring,0,0,
2023-03-07,2023,1,3,7,1,Tuesday,10,spring,0,0,
2023-03-08,2023,1,3,8,2,Wednesday,10,spring,0,1,Международный женский день
2023-03-09,2023,1,3,9,3,Thursday,10,spring,0,0,
2023-03-10,2023,1,3,10,4,Friday,10,spring,0,0,
2023-03-11,2023,1,3,11,5,Saturday,10,spring,1,0,
2023-03-12,2023,1,3,12,6,Sunday,10,spring,1,0,
2023-03-13,2023,1,3,13,0,Monday,11,spring,0,0,
2023-03-14,2023,1,3,14,1,Tuesday,11,spring,0,0,
2023-03-15,2023,1,3,15,2,Wednesday,11,spring,0,0,
2023-03-16,2023,1,3,16,3,Thursday,11,spring,0,0,
2023-03-17,2023,1,3,17,4,Friday,11,spring,0,0,
2023-03-18,2023,1,3,18,5,Saturday,11,spring,1,0,
2023-03-19,2023,1,3,19,6,Sunday,11,spring,1,0,
2023-03-20,2023,1,3,20,0,Monday,12,spring,0,0,
2023-03-21,2023,1,3,21,1,Tuesday,12,spring,0,0,
2023-03-22,2023,1,3,22,2,Wednesday,12,spring,0,0,
2023-03-23,2023,1,3,23,3,Thursday,12,spring,0,0,
2023-03-24,2023,1,3,24,4,Friday,12,spring,0,0,
2023-03-25,2023,1,3,25,5,Saturday,12,spring,1,0,
2023-03-26,2023,1,3,26,6,Sunday,12,spring,1,0,
2023-03-27,2023,1,3,27,0,Monday,13,spring,0,0,
2023-03-28,2023,1,3,28,1,Tuesday,13,spring,0,0,
2023-03-29,2023,1,3,29,2,Wednesday,13,spring,0,0,
2023-03-30,2023,1,3,30,3,Thursday,13,spring,0,0,
2023-03-31,2023,1,3,31,4,Friday,13,spring,0,0,
2023-04-01,2023,2,4,1,5,Saturday,13,spring,1,0,
2023-04-02,2023,2,4,2,6,Sunday,13,spring,1,0,
2023-04-03,2023,2,4,3,0,Monday,14,spring,0,0,
2023-04-04,2023,2,4,4,1,Tuesday,14,spring,0,0,
2023-04-05,2023,2,4,5,2,Wednesday,14,spring,0,0,
2023-04-06,2023,2,4,6,3,Thursday,14,spring,0,0,
2023-04-07,2023,2,4,7,4,Friday,14,spring,0,0,
2023-04-08,2023,2,4,8,5,Saturday,14,spring,1,0,
2023-04-09,2023,2,4,9,6,Sunday,14,spring,1,0,
2023-04-10,2023,2,4,10,0,Monday,15,spring,0,0,
2023-04-11,2023,2,4,11,1,Tuesday,15,spring,0,0,
2023-04-12,2023,2,4,12,2,Wednesday,15,spring,0,0,
2023-04-13,2023,2,4,13,3,Thursday,15,spring,0,0,
2023-04-14,2023,2,4,14,4,Friday,15,spring,0,0,
2023-04-15,2023,2,4,15,5,Saturday,15,spring,1,0,
2023-04-16,2023,2,4,16,6,Sunday,15,spring,1,0,
2023-04-17,2023,2,4,17,0,Monday,16,spring,0,0,
2023-04-18,2023,2,4,18,1,Tuesday,16,spring,0,0,
2023-04-19,2023,2,4,19,2,Wednesday,16,spring,0,0,
2023-04-20,2023,2,4,20,3,Thursday,16,spring,0,0,
2023-04-21,2023,2,4,21,4,Friday,16,spring,0,0,
2023-04-22,2023,2,4,22,5,Saturday,16,spring,1,0,
2023-04-23,2023,2,4,23,6,Sunday,16,spring,1,0,
2023-04-24,2023,2,4,24,0,Monday,17,spring,0,0,
2023-04-25,2023,2,4,25,1,Tuesday,17,spring,0,0,
2023-04-26,2023,2,4,26,2,Wednesday,17,spring,0,0,
2023-04-27,2023,2,4,27,3,Thursday,17,spring,0,0,
2023-04-28,2023,2,4,28,4,Friday,17,spring,0,0,
2023-04-29,2023,2,4,29,5,Saturday,17,spring,1,0,
2023-04-30,2023,2,4,30,6,Sunday,17,spring,1,0,
2023-05-01,2023,2,5,1,0,Monday,18,spring,0,1,Праздник весны и труда
2023-05-02,2023,2,5,2,1,Tuesday,18,spring,0,0,
2023-05-03,2023,2,5,3,2,Wednesday,18,spring,0,0,
2023-05-04,2023,2,5,4,3,Thursday,18,spring,0,0,
2023-05-05,2023,2,5,5,4,Friday,18,spring,0,0,
2023-05-06,2023,2,5,6,5,Saturday,18,spring,1,0,
2023-05-07,2023,2,5,7,6,Sunday,18,spring,1,0,
2023-05-08,2023,2,5,8,0,Monday,19,spring,0,0,
