hour,observations,total_fuel_sales,shop_total_revenue,total_traffic,avg_temperature,avg_precipitation_mm,promo_fuel_share,promo_shop_share,promo_cafe_share,ad_active_share,avg_price_gap_ai92,avg_price_gap_ai95,avg_price_gap_dt
0,9125,54112.0,0.0,231596.0,7.29,0.48,0.4917,0.4253,0.2341,0.2987,-0.003,-0.014,0.957
1,9125,54505.0,0.0,231675.0,5.94,0.47,0.4917,0.4253,0.2341,0.2927,0.005,-0.03,0.967
2,9125,54094.0,0.0,230786.0,4.74,0.48,0.4917,0.4253,0.2341,0.2992,-0.012,0.012,0.931
3,9125,53994.0,0.0,230325.0,3.45,0.47,0.4917,0.4253,0.2341,0.2951,0.015,-0.018,0.926
4,9125,53930.0,0.0,230246.0,2.25,0.48,0.4917,0.4253,0.2341,0.2922,-0.003,-0.015,0.947
5,9125,54149.0,0.0,230928.0,1.25,0.47,0.4917,0.4253,0.2341,0.3029,0.006,-0.001,0.954
6,9125,296264.0,102254.0,1197400.0,0.41,0.46,0.4917,0.4253,0.2341,0.3001,0.001,0.015,0.937
7,9125,1537163.0,4710302.0,3086848.0,-0.06,0.47,0.4917,0.4253,0.2341,0.2869,0.03,0.013,0.941
8,9125,1534619.0,4698677.0,3089840.0,-0.28,0.46,0.4917,0.4253,0.2341,0.2942,-0.027,0.003,0.944
9,9125,1536797.0,4700534.0,3088762.0,-0.07,0.48,0.4917,0.4253,0.2341,0.2991,0.008,0.018,0.949
10,9125,297257.0,98754.0,1198130.0,0.46,0.48,0.4917,0.4253,0.2341,0.2991,0.011,0.006,0.949
11,9125,270616.0,51965.0,1092207.0,1.21,0.47,0.4917,0.4253,0.2341,0.3047,0.007,0.018,0.97
12,9125,467037.0,700434.0,1095147.0,2.29,0.47,0.4917,0.4253,0.2341,0.2982,-0.016,-0.017,0.956
13,9125,467544.0,708974.0,1095810.0,3.44,0.49,0.4917,0.4253,0.2341,0.2973,0.035,-0.001,0.914
14,9125,467874.0,703170.0,1096236.0,4.72,0.49,0.4917,0.4253,0.2341,0.2935,-0.005,-0.021,0.948
15,9125,271754.0,49667.0,1094728.0,6.14,0.48,0.4917,0.4253,0.2341,0.2957,-0.015,0.004,0.955
16,9125,328377.0,230364.0,1318948.0,7.26,0.49,0.4917,0.4253,0.2341,0.2964,0.007,-0.01,0.947
17,9125,1888058.0,6020949.0,3785433.0,8.24,0.47,0.4917,0.4253,0.2341,0.2969,0.008,-0.019,0.934
18,9125,1888994.0,6032033.0,3783014.0,9.04,0.48,0.4917,0.4253,0.2341,0.3009,0.001,-0.007,0.973
19,9125,1894350.0,6048454.0,3799650.0,9.56,0.48,0.4917,0.4253,0.2341,0.2961,-0.033,-0.003,0.943
20,9125,328721.0,224931.0,1323798.0,9.73,0.49,0.4917,0.4253,0.2341,0.3006,0.009,-0.005,0.935
21,9125,273579.0,47552.0,1103052.0,9.56,0.47,0.4917,0.4253,0.2341,0.2992,0.019,-0.025,0.935
22,9125,54963.0,0.0,232795.0,9.15,0.47,0.4917,0.4253,0.2341,0.2964,0.007,0.011,0.937
23,9125,54435.0,0.0,232261.0,8.26,0.48,0.4917,0.4253,0.2341,0.2927,0.004,0.013,0.952
