station_id,station_name,road_type,direction,settlement_size,distance_to_city_km,num_pumps_AI92,num_pumps_AI95,num_pumps_AI98,num_pumps_DT_EURO,num_pumps_DT_TANEKO,num_pumps_DT_SUMMER,num_pumps_DT_WINTER,total_pumps,shop_area_m2,has_car_wash,has_tire_service,has_cafe,has_hotel,has_shop,competitors_within_5km,base_price_AI92,base_price_AI95,base_price_AI98,base_price_DT_EURO,base_price_DT_TANEKO,base_price_DT_SUMMER,base_price_DT_WINTER,customer_loyalty_score,staff_quality_score,corporate_customer_ratio,staff_engagement_score,observations,avg_total_fuel_sales,avg_shop_total_revenue,avg_total_traffic,avg_temperature,avg_precipitation_mm,promo_fuel_share,promo_shop_share,promo_cafe_share,ad_active_share,avg_price_gap_ai92,avg_price_gap_ai95,avg_price_gap_dt
0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,6,5,2,4,1,2,3,23,150,0,1,1,0,1,2,50.4,52.8,56.9,50.5,52.6,50.5,52.3,52.1,97.0,0.19,58.6,8760,85.4,269.37,199.38,4.78,0.49,0.7616,0.2356,0.0,0.2959,-0.0,-0.016,1.801
1,Татнефть-АЗС-002,региональная дорога,из_города,средний город (50-250k),29.5,2,4,2,1,0,1,2,12,150,1,0,1,0,1,0,49.3,51.9,55.3,51.0,52.1,50.8,51.5,79.8,71.8,0.31,76.9,8760,42.54,106.75,101.35,4.82,0.49,0.6849,0.1479,0.3014,0.3062,-0.004,0.002,0.496
2,Татнефть-АЗС-003,федеральная трасса М7,из_города,сельская местность (<10k),39.9,5,5,2,4,2,3,2,23,150,1,1,1,1,1,0,50.6,54.5,58.0,52.1,54.2,50.8,52.6,69.1,75.0,0.22,55.6,8760,102.19,348.79,236.64,4.78,0.47,0.6603,0.2219,0.1123,0.3013,-0.014,-0.025,0.494
3,Татнефть-АЗС-004,федеральная трасса М7,в_город,сельская местность (<10k),40.6,5,6,3,2,2,2,2,22,200,1,0,1,0,1,0,50.9,53.8,58.5,52.4,53.8,51.9,54.1,75.3,89.3,0.3,75.9,8760,93.75,319.53,233.97,4.76,0.49,0.0712,0.2959,0.6932,0.3018,-0.01,0.015,1.703
4,Татнефть-АЗС-005,региональная дорога,в_город,мегаполис (>1млн),3.2,4,2,0,2,1,2,1,12,100,0,1,1,0,1,1,47.6,50.3,55.9,50.6,52.3,49.7,51.6,58.4,93.9,0.32,87.3,8760,40.11,66.28,100.23,4.7,0.46,0.2795,0.4521,0.3151,0.3007,-0.01,0.001,1.017
5,Татнефть-АЗС-006,городская улица,в_город,крупный город (250k-1млн),0.3,3,2,0,1,0,1,2,9,100,0,0,1,0,1,2,48.0,51.4,54.7,50.9,52.9,48.5,51.0,63.5,70.8,0.11,79.4,8760,61.46,123.7,149.77,4.77,0.48,0.5425,0.5644,0.2137,0.2916,-0.015,0.005,0.109
6,Татнефть-АЗС-007,региональная дорога,транзит,мегаполис (>1млн),8.4,4,3,1,1,1,2,2,14,150,0,0,1,0,1,3,49.0,50.8,55.6,50.6,51.3,49.0,51.4,88.6,72.4,0.19,83.4,8760,33.45,76.88,85.0,4.72,0.48,0.2521,0.737,0.2548,0.3027,-0.002,-0.009,0.784
7,Татнефть-АЗС-008,городская улица,из_города,крупный город (250k-1млн),0.3,4,3,0,1,1,1,1,11,50,1,0,1,0,1,2,47.5,52.0,55.9,50.1,52.8,48.4,50.6,81.5,92.2,0.44,71.2,8760,62.41,66.68,152.51,4.74,0.46,0.3589,0.9945,0.337,0.2962,-0.013,-0.01,0.512
8,Татнефть-АЗС-009,городская улица,из_города,средний город (50-250k),2.8,3,4,1,1,0,1,1,11,50,0,0,1,0,1,2,48.0,50.4,54.7,50.5,52.4,48.6,51.1,72.9,84.2,0.2,78.6,8760,65.99,64.56,152.45,4.72,0.47,0.8986,0.3068,0.1014,0.2976,0.016,0.003,0.588
9,Татнефть-АЗС-010,объездная,из_города,средний город (50-250k),27.2,2,3,0,2,0,2,1,10,50,0,0,1,0,1,1,48.9,51.9,55.8,49.7,51.0,49.9,50.9,93.5,96.6,0.44,66.8,8760,31.93,23.0,75.98,4.72,0.48,0.726,0.189,0.2685,0.3054,-0.0,-0.015,1.209
10,Татнефть-АЗС-011,федеральная трасса М7,транзит,сельская местность (<10k),19.3,4,5,2,3,2,2,3,21,100,0,1,1,0,1,0,50.0,53.2,58.4,51.8,55.0,51.6,53.1,68.9,69.7,0.34,58.3,8760,82.77,178.85,199.22,4.74,0.5,0.5534,0.4384,0.3753,0.291,0.032,0.016,1.305
11,Татнефть-АЗС-012,федеральная трасса М7,транзит,сельская местность (<10k),13.7,5,5,3,4,1,2,3,23,150,1,1,1,0,1,0,51.4,54.2,58.5,52.0,53.7,51.1,53.6,64.7,91.5,0.21,93.6,8760,83.01,256.13,200.04,4.76,0.49,0.4329,0.0219,0.6822,0.2945,0.025,-0.011,1.604
12,Татнефть-АЗС-013,региональная дорога,из_города,малый город (10-50k),5.8,4,4,0,2,1,2,2,15,50,0,1,1,0,1,1,47.2,50.9,55.4,49.1,52.8,48.9,50.5,54.2,66.9,0.47,80.5,8760,40.91,34.26,101.52,4.69,0.46,0.2521,0.3315,0.4027,0.3033,-0.004,-0.004,1.397
13,Татнефть-АЗС-014,региональная дорога,транзит,малый город (10-50k),13.1,4,3,2,1,1,1,1,13,50,0,1,0,0,1,2,48.0,50.9,54.3,49.9,51.8,49.2,51.3,52.0,74.2,0.35,75.1,8760,34.22,31.9,84.78,4.77,0.48,0.5836,0.4082,0.0,0.2919,0.021,-0.002,1.423
14,Татнефть-АЗС-015,городская улица,в_город,крупный город (250k-1млн),0.5,4,3,0,2,1,2,1,13,150,0,0,1,0,1,5,47.5,50.4,54.8,49.1,52.2,48.7,51.3,67.3,85.9,0.24,65.4,8760,61.98,175.41,150.14,4.74,0.47,0.4932,0.2082,0.2904,0.2927,0.005,-0.004,2.205
15,Татнефть-АЗС-016,региональная дорога,транзит,малый город (10-50k),10.5,2,2,0,1,1,2,1,9,100,1,0,1,0,1,2,48.9,51.7,54.9,50.5,52.5,48.2,51.8,72.7,91.4,0.23,90.8,8760,32.44,47.95,85.07,4.73,0.47,0.0,0.6137,0.3726,0.2895,-0.007,0.002,1.31
16,Татнефть-АЗС-017,федеральная трасса М7,транзит,малый город (10-50k),45.7,6,5,2,4,2,2,3,24,150,0,0,1,0,1,3,49.4,51.6,56.7,51.4,54.3,50.2,51.8,56.4,88.9,0.35,59.0,8760,87.92,279.06,199.67,4.73,0.47,0.9808,0.2575,0.0,0.2981,0.003,0.021,0.411
17,Татнефть-АЗС-018,федеральная трасса М7,из_города,сельская местность (<10k),8.3,5,5,2,2,1,3,2,20,150,1,1,1,0,1,1,49.1,52.9,56.6,51.3,54.0,50.0,52.2,69.6,69.6,0.26,77.9,8760,99.56,358.79,238.71,4.78,0.46,0.4137,0.6493,0.1616,0.2965,0.015,-0.027,0.878
18,Татнефть-АЗС-019,городская улица,из_города,средний город (50-250k),2.5,4,2,1,1,0,2,1,11,50,0,1,1,0,1,3,48.8,51.8,54.5,50.4,51.2,48.3,50.4,63.3,97.8,0.38,70.4,8760,60.4,61.0,151.61,4.7,0.46,0.1616,0.8219,0.2247,0.2901,-0.003,-0.01,0.011
19,Татнефть-АЗС-020,городская улица,в_город,средний город (50-250k),2.9,3,2,1,2,1,2,2,13,50,0,1,1,0,1,3,48.6,51.4,54.3,50.8,52.6,49.9,51.5,77.6,75.9,0.47,89.6,8760,65.26,61.09,149.93,4.78,0.47,0.989,0.0,0.0,0.3019,0.002,-0.024,0.726
20,Татнефть-АЗС-021,федеральная трасса М7,из_города,малый город (10-50k),21.9,6,4,2,2,2,2,2,20,300,1,1,1,0,1,1,48.6,53.3,57.3,52.5,54.6,50.6,53.1,92.5,92.3,0.2,73.0,8760,99.76,361.3,237.6,4.79,0.48,0.3644,0.5397,0.4466,0.2989,-0.007,-0.01,0.6
21,Татнефть-АЗС-022,федеральная трасса М7,транзит,сельская местность (<10k),32.3,4,5,3,4,2,2,3,23,150,1,1,1,0,1,2,50.0,52.7,56.6,51.3,54.1,50.7,53.1,90.6,83.5,0.49,79.3,8760,82.93,268.14,199.38,4.76,0.48,0.4301,0.5616,0.0,0.2921,0.025,0.007,1.815
22,Татнефть-АЗС-023,региональная дорога,транзит,средний город (50-250k),2.7,2,3,0,2,0,2,2,11,100,1,0,1,0,1,2,47.9,52.0,55.0,49.7,52.3,48.5,50.2,55.8,64.9,0.16,60.6,8760,35.66,51.21,85.32,4.79,0.48,0.6932,0.2658,0.2986,0.2961,0.022,-0.012,0.514
23,Татнефть-АЗС-024,региональная дорога,транзит,крупный город (250k-1млн),10.4,4,4,0,2,1,1,2,14,50,0,0,1,0,1,0,49.1,52.1,55.8,51.8,52.3,49.6,51.7,54.2,78.3,0.38,75.5,8760,33.5,24.5,84.96,4.7,0.48,0.3205,0.663,0.0,0.3031,-0.002,0.024,-0.14
24,Татнефть-АЗС-025,федеральная трасса М7,из_города,малый город (10-50k),5.1,4,6,2,4,1,2,3,22,150,1,0,1,0,1,1,48.9,53.0,57.4,51.5,53.6,49.7,52.4,74.0,69.2,0.21,70.1,8760,99.53,355.03,237.43,4.76,0.5,0.389,0.7068,0.0,0.2869,-0.013,0.006,0.873
