station_id,station_name,priority_score,avg_total_fuel_sales,avg_shop_total_revenue,avg_total_traffic,avg_price_gap_ai92,avg_price_gap_ai95,avg_price_gap_dt,ad_active_share,promo_fuel_share,promo_shop_share,promo_cafe_share,recommended_actions
0,Татнефть-АЗС-001,3,85.4,269.37,199.38,-0.0,-0.016,1.801,0.2959,0.7616,0.2356,0.0,Цена ниже рынка по одной или нескольким позициям | Проверить окупаемость автомойки
1,Татнефть-АЗС-002,5,42.54,106.75,101.35,-0.004,0.002,0.496,0.3062,0.6849,0.1479,0.3014,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям | Рассмотреть сервис шиномонтажа на трассовых точках
2,Татнефть-АЗС-003,2,102.19,348.79,236.64,-0.014,-0.025,0.494,0.3013,0.6603,0.2219,0.1123,Цена ниже рынка по одной или нескольким позициям
3,Татнефть-АЗС-004,4,93.75,319.53,233.97,-0.01,0.015,1.703,0.3018,0.0712,0.2959,0.6932,Цена ниже рынка по одной или нескольким позициям | Мало акций на топливо | Рассмотреть сервис шиномонтажа на трассовых точках
4,Татнефть-АЗС-005,4,40.11,66.28,100.23,-0.01,0.001,1.017,0.3007,0.2795,0.4521,0.3151,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям
5,Татнефть-АЗС-006,4,61.46,123.7,149.77,-0.015,0.005,0.109,0.2916,0.5425,0.5644,0.2137,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям
6,Татнефть-АЗС-007,4,33.45,76.88,85.0,-0.002,-0.009,0.784,0.3027,0.2521,0.737,0.2548,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям
7,Татнефть-АЗС-008,4,62.41,66.68,152.51,-0.013,-0.01,0.512,0.2962,0.3589,0.9945,0.337,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям
8,Татнефть-АЗС-009,1,65.99,64.56,152.45,0.016,0.003,0.588,0.2976,0.8986,0.3068,0.1014,Проверить окупаемость автомойки
9,Татнефть-АЗС-010,5,31.93,23.0,75.98,-0.0,-0.015,1.209,0.3054,0.726,0.189,0.2685,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям | Рассмотреть сервис шиномонтажа на трассовых точках
10,Татнефть-АЗС-011,1,82.77,178.85,199.22,0.032,0.016,1.305,0.291,0.5534,0.4384,0.3753,Проверить окупаемость автомойки
11,Татнефть-АЗС-012,2,83.01,256.13,200.04,0.025,-0.011,1.604,0.2945,0.4329,0.0219,0.6822,Цена ниже рынка по одной или нескольким позициям
12,Татнефть-АЗС-013,4,40.91,34.26,101.52,-0.004,-0.004,1.397,0.3033,0.2521,0.3315,0.4027,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям
13,Татнефть-АЗС-014,4,34.22,31.9,84.78,0.021,-0.002,1.423,0.2919,0.5836,0.4082,0.0,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям
14,Татнефть-АЗС-015,4,61.98,175.41,150.14,0.005,-0.004,2.205,0.2927,0.4932,0.2082,0.2904,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям
15,Татнефть-АЗС-016,6,32.44,47.95,85.07,-0.007,0.002,1.31,0.2895,0.0,0.6137,0.3726,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям | Мало акций на топливо | Рассмотреть сервис шиномонтажа на трассовых точках
16,Татнефть-АЗС-017,2,87.92,279.06,199.67,0.003,0.021,0.411,0.2981,0.9808,0.2575,0.0,Проверить окупаемость автомойки | Рассмотреть сервис шиномонтажа на трассовых точках
17,Татнефть-АЗС-018,2,99.56,358.79,238.71,0.015,-0.027,0.878,0.2965,0.4137,0.6493,0.1616,Цена ниже рынка по одной или нескольким позициям
18,Татнефть-АЗС-019,6,60.4,61.0,151.61,-0.003,-0.01,0.011,0.2901,0.1616,0.8219,0.2247,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям | Мало акций на топливо | Проверить окупаемость автомойки
19,Татнефть-АЗС-020,2,65.26,61.09,149.93,0.002,-0.024,0.726,0.3019,0.989,0.0,0.0,Цена ниже рынка по одной или нескольким позициям
20,Татнефть-АЗС-021,2,99.76,361.3,237.6,-0.007,-0.01,0.6,0.2989,0.3644,0.5397,0.4466,Цена ниже рынка по одной или нескольким позициям
21,Татнефть-АЗС-022,0,82.93,268.14,199.38,0.025,0.007,1.815,0.2921,0.4301,0.5616,0.0,"Станция выглядит сбалансированной, держать текущую стратегию"
22,Татнефть-АЗС-023,4,35.66,51.21,85.32,0.022,-0.012,0.514,0.2961,0.6932,0.2658,0.2986,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям
23,Татнефть-АЗС-024,5,33.5,24.5,84.96,-0.002,0.024,-0.14,0.3031,0.3205,0.663,0.0,Слабые продажи топлива относительно медианы сети | Цена ниже рынка по одной или нескольким позициям | Рассмотреть сервис шиномонтажа на трассовых точках
24,Татнефть-АЗС-025,2,99.53,355.03,237.43,-0.013,0.006,0.873,0.2869,0.389,0.7068,0.0,Цена ниже рынка по одной или нескольким позициям
